LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
57m         Warning   FailedScheduling    pod/localai-rpc-c-7c45cbd784-bslwv     0/3 nodes are available: 1 Insufficient cpu, 1 Insufficient memory, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
56m         Warning   FailedScheduling    pod/localai-rpc-d-684847f7f9-vq5ks     0/3 nodes are available: 1 Insufficient cpu, 1 Insufficient memory, 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling.
55m         Normal    SuccessfulDelete    replicaset/localai-rpc-c-7c45cbd784    Deleted pod: localai-rpc-c-7c45cbd784-bslwv
55m         Normal    ScalingReplicaSet   deployment/localai-rpc-c               Scaled down replica set localai-rpc-c-7c45cbd784 from 1 to 0
55m         Normal    SuccessfulDelete    replicaset/localai-rpc-d-684847f7f9    Deleted pod: localai-rpc-d-684847f7f9-vq5ks
55m         Normal    ScalingReplicaSet   deployment/localai-rpc-d               Scaled down replica set localai-rpc-d-684847f7f9 from 1 to 0
45s         Normal    Killing             pod/localai-server-74fccf5cb7-bbxl2    Stopping container localai
45s         Normal    SuccessfulDelete    replicaset/localai-server-74fccf5cb7   Deleted pod: localai-server-74fccf5cb7-bbxl2
45s         Normal    ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-74fccf5cb7 from 1 to 0
44s         Normal    Scheduled           pod/localai-server-b4975d958-pdz4w     Successfully assigned genai-thesis/localai-server-b4975d958-pdz4w to sc-app-02
44s         Normal    Pulled              pod/localai-server-b4975d958-pdz4w     Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
44s         Normal    Created             pod/localai-server-b4975d958-pdz4w     Container created
44s         Normal    Started             pod/localai-server-b4975d958-pdz4w     Container started
44s         Normal    SuccessfulCreate    replicaset/localai-server-b4975d958    Created pod: localai-server-b4975d958-pdz4w
44s         Normal    ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-b4975d958 from 0 to 1
