Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776798849,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776798850,1,GET,GET /v1/models (startup check),0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,152.20960000078776,152.20960000078776,152.20960000078776,152.20960000078776,243.0
1776798850,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,152.20960000078776,152.20960000078776,152.20960000078776,152.20960000078776,243.0
1776798851,2,GET,GET /v1/models (startup check),0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798851,2,,Aggregated,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798852,2,GET,GET /v1/models (startup check),0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798852,2,,Aggregated,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798853,2,GET,GET /v1/models (startup check),1.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798853,2,POST,POST /v1/chat/completions,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,3352.4010000001,3352.4010000001,3352.4010000001,3352.4010000001,296.0
1776798853,2,,Aggregated,1.000000,0.000000,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3,0,150.0,1215.1908333338117,140.96190000054776,3352.4010000001,260.6666666666667
1776798854,2,GET,GET /v1/models (startup check),1.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798854,2,POST,POST /v1/chat/completions,0.000000,0.000000,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,1,0,3352.4010000001,3352.4010000001,3352.4010000001,3352.4010000001,296.0
1776798854,2,,Aggregated,1.000000,0.000000,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3,0,150.0,1215.1908333338117,140.96190000054776,3352.4010000001,260.6666666666667
1776798855,2,GET,GET /v1/models (startup check),1.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798855,2,POST,POST /v1/chat/completions,0.000000,0.000000,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,1,0,3352.4010000001,3352.4010000001,3352.4010000001,3352.4010000001,296.0
1776798855,2,,Aggregated,1.000000,0.000000,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3,0,150.0,1215.1908333338117,140.96190000054776,3352.4010000001,260.6666666666667
1776798856,2,GET,GET /v1/models (startup check),0.500000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798856,2,POST,POST /v1/chat/completions,0.250000,0.000000,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,2,0,3400.0,4281.553050001094,3352.4010000001,5210.705100002087,296.0
1776798856,2,,Aggregated,0.750000,0.000000,3400,3400,5200,5200,5200,5200,5200,5200,5200,5200,5200,4,0,150.0,2214.0694000008807,140.96190000054776,5210.705100002087,269.5
1776798857,2,GET,GET /v1/models (startup check),0.500000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798857,2,POST,POST /v1/chat/completions,0.250000,0.000000,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,2,0,3400.0,4281.553050001094,3352.4010000001,5210.705100002087,296.0
1776798857,2,,Aggregated,0.750000,0.000000,3400,3400,5200,5200,5200,5200,5200,5200,5200,5200,5200,4,0,150.0,2214.0694000008807,140.96190000054776,5210.705100002087,269.5
1776798858,2,GET,GET /v1/models (startup check),0.500000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798858,2,POST,POST /v1/chat/completions,0.250000,0.000000,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,2,0,3400.0,4281.553050001094,3352.4010000001,5210.705100002087,296.0
1776798858,2,,Aggregated,0.750000,0.000000,3400,3400,5200,5200,5200,5200,5200,5200,5200,5200,5200,4,0,150.0,2214.0694000008807,140.96190000054776,5210.705100002087,269.5
1776798859,2,GET,GET /v1/models (startup check),0.285714,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798859,2,POST,POST /v1/chat/completions,0.285714,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,3,0,3700.0,4083.1594333346097,3352.4010000001,5210.705100002087,296.0
1776798859,2,,Aggregated,0.571429,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,5,0,3400.0,2508.529960001033,140.96190000054776,5210.705100002087,274.8
1776798860,2,GET,GET /v1/models (startup check),0.285714,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798860,2,POST,POST /v1/chat/completions,0.285714,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,3,0,3700.0,4083.1594333346097,3352.4010000001,5210.705100002087,296.0
1776798860,2,,Aggregated,0.571429,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,5,0,3400.0,2508.529960001033,140.96190000054776,5210.705100002087,274.8
1776798861,2,GET,GET /v1/models (startup check),0.200000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798861,2,POST,POST /v1/chat/completions,0.300000,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,4,0,3700.0,3982.15647500092,3352.4010000001,5210.705100002087,296.0
1776798861,2,,Aggregated,0.500000,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,6,0,3400.0,2703.632900000836,140.96190000054776,5210.705100002087,278.3333333333333
1776798862,2,GET,GET /v1/models (startup check),0.200000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798862,2,POST,POST /v1/chat/completions,0.300000,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,4,0,3700.0,3982.15647500092,3352.4010000001,5210.705100002087,296.0
1776798862,2,,Aggregated,0.500000,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,6,0,3400.0,2703.632900000836,140.96190000054776,5210.705100002087,278.3333333333333
1776798863,2,GET,GET /v1/models (startup check),0.200000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798863,2,POST,POST /v1/chat/completions,0.300000,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,4,0,3700.0,3982.15647500092,3352.4010000001,5210.705100002087,296.0
1776798863,2,,Aggregated,0.500000,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,6,0,3400.0,2703.632900000836,140.96190000054776,5210.705100002087,278.3333333333333
1776798864,2,GET,GET /v1/models (startup check),0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798864,2,POST,POST /v1/chat/completions,0.300000,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,5,0,3700.0,3926.205540000956,3352.4010000001,5210.705100002087,296.0
1776798864,2,,Aggregated,0.300000,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,7,0,3700.0,2846.3141714294447,140.96190000054776,5210.705100002087,280.85714285714283
1776798865,2,GET,GET /v1/models (startup check),0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
1776798865,2,POST,POST /v1/chat/completions,0.300000,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,5,0,3700.0,3926.205540000956,3352.4010000001,5210.705100002087,296.0
1776798865,2,,Aggregated,0.300000,0.000000,3700,3700,5200,5200,5200,5200,5200,5200,5200,5200,5200,7,0,3700.0,2846.3141714294447,140.96190000054776,5210.705100002087,280.85714285714283
1776798866,2,GET,GET /v1/models (startup check),0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.96190000054776,146.58575000066776,140.96190000054776,152.20960000078776,243.0
