LAST SEEN   TYPE     REASON              OBJECT                                 MESSAGE
36m         Normal   SuccessfulDelete    replicaset/localai-server-74fccf5cb7   Deleted pod: localai-server-74fccf5cb7-bbxl2
36m         Normal   Killing             pod/localai-server-74fccf5cb7-bbxl2    Stopping container localai
36m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-74fccf5cb7 from 1 to 0
36m         Normal   Started             pod/localai-server-b4975d958-pdz4w     Container started
36m         Normal   Scheduled           pod/localai-server-b4975d958-pdz4w     Successfully assigned genai-thesis/localai-server-b4975d958-pdz4w to sc-app-02
36m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-b4975d958 from 0 to 1
36m         Normal   Pulled              pod/localai-server-b4975d958-pdz4w     Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
36m         Normal   SuccessfulCreate    replicaset/localai-server-b4975d958    Created pod: localai-server-b4975d958-pdz4w
36m         Normal   Created             pod/localai-server-b4975d958-pdz4w     Container created
23m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-b4975d958 from 1 to 0
23m         Normal   Killing             pod/localai-server-b4975d958-pdz4w     Stopping container localai
23m         Normal   SuccessfulDelete    replicaset/localai-server-b4975d958    Deleted pod: localai-server-b4975d958-pdz4w
23m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-86b868dbcc from 0 to 1
23m         Normal   SuccessfulCreate    replicaset/localai-server-86b868dbcc   Created pod: localai-server-86b868dbcc-28cqz
23m         Normal   Started             pod/localai-server-86b868dbcc-28cqz    Container started
23m         Normal   Created             pod/localai-server-86b868dbcc-28cqz    Container created
23m         Normal   Pulled              pod/localai-server-86b868dbcc-28cqz    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
23m         Normal   Scheduled           pod/localai-server-86b868dbcc-28cqz    Successfully assigned genai-thesis/localai-server-86b868dbcc-28cqz to sc-app-02
9m7s        Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-86b868dbcc from 1 to 0
9m7s        Normal   Killing             pod/localai-server-86b868dbcc-28cqz    Stopping container localai
9m7s        Normal   SuccessfulDelete    replicaset/localai-server-86b868dbcc   Deleted pod: localai-server-86b868dbcc-28cqz
9m6s        Normal   SuccessfulCreate    replicaset/localai-server-7bd44b44d8   Created pod: localai-server-7bd44b44d8-4n6jm
9m6s        Normal   Created             pod/localai-server-7bd44b44d8-4n6jm    Container created
9m6s        Normal   Pulled              pod/localai-server-7bd44b44d8-4n6jm    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
9m6s        Normal   Scheduled           pod/localai-server-7bd44b44d8-4n6jm    Successfully assigned genai-thesis/localai-server-7bd44b44d8-4n6jm to sc-app-02
9m6s        Normal   Started             pod/localai-server-7bd44b44d8-4n6jm    Container started
9m6s        Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-7bd44b44d8 from 0 to 1
