LAST SEEN   TYPE     REASON              OBJECT                                 MESSAGE
43m         Normal   Killing             pod/localai-server-74fccf5cb7-bbxl2    Stopping container localai
43m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-74fccf5cb7 from 1 to 0
43m         Normal   SuccessfulDelete    replicaset/localai-server-74fccf5cb7   Deleted pod: localai-server-74fccf5cb7-bbxl2
43m         Normal   SuccessfulCreate    replicaset/localai-server-b4975d958    Created pod: localai-server-b4975d958-pdz4w
43m         Normal   Scheduled           pod/localai-server-b4975d958-pdz4w     Successfully assigned genai-thesis/localai-server-b4975d958-pdz4w to sc-app-02
43m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-b4975d958 from 0 to 1
43m         Normal   Pulled              pod/localai-server-b4975d958-pdz4w     Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
43m         Normal   Created             pod/localai-server-b4975d958-pdz4w     Container created
43m         Normal   Started             pod/localai-server-b4975d958-pdz4w     Container started
30m         Normal   Killing             pod/localai-server-b4975d958-pdz4w     Stopping container localai
30m         Normal   SuccessfulDelete    replicaset/localai-server-b4975d958    Deleted pod: localai-server-b4975d958-pdz4w
30m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-86b868dbcc from 0 to 1
30m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-b4975d958 from 1 to 0
30m         Normal   SuccessfulCreate    replicaset/localai-server-86b868dbcc   Created pod: localai-server-86b868dbcc-28cqz
30m         Normal   Scheduled           pod/localai-server-86b868dbcc-28cqz    Successfully assigned genai-thesis/localai-server-86b868dbcc-28cqz to sc-app-02
30m         Normal   Pulled              pod/localai-server-86b868dbcc-28cqz    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
30m         Normal   Created             pod/localai-server-86b868dbcc-28cqz    Container created
30m         Normal   Started             pod/localai-server-86b868dbcc-28cqz    Container started
16m         Normal   Killing             pod/localai-server-86b868dbcc-28cqz    Stopping container localai
16m         Normal   SuccessfulDelete    replicaset/localai-server-86b868dbcc   Deleted pod: localai-server-86b868dbcc-28cqz
16m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-86b868dbcc from 1 to 0
16m         Normal   Scheduled           pod/localai-server-7bd44b44d8-4n6jm    Successfully assigned genai-thesis/localai-server-7bd44b44d8-4n6jm to sc-app-02
16m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-7bd44b44d8 from 0 to 1
16m         Normal   SuccessfulCreate    replicaset/localai-server-7bd44b44d8   Created pod: localai-server-7bd44b44d8-4n6jm
16m         Normal   Started             pod/localai-server-7bd44b44d8-4n6jm    Container started
16m         Normal   Created             pod/localai-server-7bd44b44d8-4n6jm    Container created
16m         Normal   Pulled              pod/localai-server-7bd44b44d8-4n6jm    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
38s         Normal   Killing             pod/localai-server-7bd44b44d8-4n6jm    Stopping container localai
38s         Normal   SuccessfulDelete    replicaset/localai-server-7bd44b44d8   Deleted pod: localai-server-7bd44b44d8-4n6jm
38s         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-7bd44b44d8 from 1 to 0
37s         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-74fccf5cb7 from 0 to 1
37s         Normal   SuccessfulCreate    replicaset/localai-server-74fccf5cb7   Created pod: localai-server-74fccf5cb7-5g4gn
37s         Normal   Started             pod/localai-server-74fccf5cb7-5g4gn    Container started
37s         Normal   Created             pod/localai-server-74fccf5cb7-5g4gn    Container created
37s         Normal   Pulled              pod/localai-server-74fccf5cb7-5g4gn    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
37s         Normal   Scheduled           pod/localai-server-74fccf5cb7-5g4gn    Successfully assigned genai-thesis/localai-server-74fccf5cb7-5g4gn to sc-app-02
