LAST SEEN   TYPE     REASON              OBJECT                                 MESSAGE
52m         Normal   Killing             pod/localai-server-74fccf5cb7-bbxl2    Stopping container localai
52m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-74fccf5cb7 from 1 to 0
52m         Normal   SuccessfulDelete    replicaset/localai-server-74fccf5cb7   Deleted pod: localai-server-74fccf5cb7-bbxl2
52m         Normal   SuccessfulCreate    replicaset/localai-server-b4975d958    Created pod: localai-server-b4975d958-pdz4w
52m         Normal   Scheduled           pod/localai-server-b4975d958-pdz4w     Successfully assigned genai-thesis/localai-server-b4975d958-pdz4w to sc-app-02
52m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-b4975d958 from 0 to 1
52m         Normal   Pulled              pod/localai-server-b4975d958-pdz4w     Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
52m         Normal   Created             pod/localai-server-b4975d958-pdz4w     Container created
52m         Normal   Started             pod/localai-server-b4975d958-pdz4w     Container started
38m         Normal   Killing             pod/localai-server-b4975d958-pdz4w     Stopping container localai
38m         Normal   SuccessfulDelete    replicaset/localai-server-b4975d958    Deleted pod: localai-server-b4975d958-pdz4w
38m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-86b868dbcc from 0 to 1
38m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-b4975d958 from 1 to 0
38m         Normal   SuccessfulCreate    replicaset/localai-server-86b868dbcc   Created pod: localai-server-86b868dbcc-28cqz
38m         Normal   Scheduled           pod/localai-server-86b868dbcc-28cqz    Successfully assigned genai-thesis/localai-server-86b868dbcc-28cqz to sc-app-02
38m         Normal   Pulled              pod/localai-server-86b868dbcc-28cqz    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
38m         Normal   Created             pod/localai-server-86b868dbcc-28cqz    Container created
38m         Normal   Started             pod/localai-server-86b868dbcc-28cqz    Container started
24m         Normal   Killing             pod/localai-server-86b868dbcc-28cqz    Stopping container localai
24m         Normal   SuccessfulDelete    replicaset/localai-server-86b868dbcc   Deleted pod: localai-server-86b868dbcc-28cqz
24m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-86b868dbcc from 1 to 0
24m         Normal   Scheduled           pod/localai-server-7bd44b44d8-4n6jm    Successfully assigned genai-thesis/localai-server-7bd44b44d8-4n6jm to sc-app-02
24m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-7bd44b44d8 from 0 to 1
24m         Normal   SuccessfulCreate    replicaset/localai-server-7bd44b44d8   Created pod: localai-server-7bd44b44d8-4n6jm
24m         Normal   Started             pod/localai-server-7bd44b44d8-4n6jm    Container started
24m         Normal   Created             pod/localai-server-7bd44b44d8-4n6jm    Container created
24m         Normal   Pulled              pod/localai-server-7bd44b44d8-4n6jm    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
8m55s       Normal   Killing             pod/localai-server-7bd44b44d8-4n6jm    Stopping container localai
8m55s       Normal   SuccessfulDelete    replicaset/localai-server-7bd44b44d8   Deleted pod: localai-server-7bd44b44d8-4n6jm
8m55s       Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-7bd44b44d8 from 1 to 0
8m54s       Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-74fccf5cb7 from 0 to 1
8m54s       Normal   SuccessfulCreate    replicaset/localai-server-74fccf5cb7   Created pod: localai-server-74fccf5cb7-5g4gn
8m54s       Normal   Started             pod/localai-server-74fccf5cb7-5g4gn    Container started
8m54s       Normal   Created             pod/localai-server-74fccf5cb7-5g4gn    Container created
8m54s       Normal   Pulled              pod/localai-server-74fccf5cb7-5g4gn    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
8m54s       Normal   Scheduled           pod/localai-server-74fccf5cb7-5g4gn    Successfully assigned genai-thesis/localai-server-74fccf5cb7-5g4gn to sc-app-02
