LAST SEEN   TYPE     REASON              OBJECT                                 MESSAGE
47m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-b4975d958 from 1 to 0
47m         Normal   Killing             pod/localai-server-b4975d958-pdz4w     Stopping container localai
47m         Normal   SuccessfulDelete    replicaset/localai-server-b4975d958    Deleted pod: localai-server-b4975d958-pdz4w
47m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-86b868dbcc from 0 to 1
47m         Normal   SuccessfulCreate    replicaset/localai-server-86b868dbcc   Created pod: localai-server-86b868dbcc-28cqz
47m         Normal   Pulled              pod/localai-server-86b868dbcc-28cqz    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
47m         Normal   Scheduled           pod/localai-server-86b868dbcc-28cqz    Successfully assigned genai-thesis/localai-server-86b868dbcc-28cqz to sc-app-02
47m         Normal   Started             pod/localai-server-86b868dbcc-28cqz    Container started
47m         Normal   Created             pod/localai-server-86b868dbcc-28cqz    Container created
33m         Normal   SuccessfulDelete    replicaset/localai-server-86b868dbcc   Deleted pod: localai-server-86b868dbcc-28cqz
33m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-86b868dbcc from 1 to 0
33m         Normal   Killing             pod/localai-server-86b868dbcc-28cqz    Stopping container localai
33m         Normal   SuccessfulCreate    replicaset/localai-server-7bd44b44d8   Created pod: localai-server-7bd44b44d8-4n6jm
33m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-7bd44b44d8 from 0 to 1
33m         Normal   Scheduled           pod/localai-server-7bd44b44d8-4n6jm    Successfully assigned genai-thesis/localai-server-7bd44b44d8-4n6jm to sc-app-02
33m         Normal   Pulled              pod/localai-server-7bd44b44d8-4n6jm    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
33m         Normal   Created             pod/localai-server-7bd44b44d8-4n6jm    Container created
33m         Normal   Started             pod/localai-server-7bd44b44d8-4n6jm    Container started
18m         Normal   Killing             pod/localai-server-7bd44b44d8-4n6jm    Stopping container localai
18m         Normal   SuccessfulDelete    replicaset/localai-server-7bd44b44d8   Deleted pod: localai-server-7bd44b44d8-4n6jm
18m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-7bd44b44d8 from 1 to 0
17m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-74fccf5cb7 from 0 to 1
17m         Normal   SuccessfulCreate    replicaset/localai-server-74fccf5cb7   Created pod: localai-server-74fccf5cb7-5g4gn
17m         Normal   Started             pod/localai-server-74fccf5cb7-5g4gn    Container started
17m         Normal   Created             pod/localai-server-74fccf5cb7-5g4gn    Container created
17m         Normal   Pulled              pod/localai-server-74fccf5cb7-5g4gn    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
17m         Normal   Scheduled           pod/localai-server-74fccf5cb7-5g4gn    Successfully assigned genai-thesis/localai-server-74fccf5cb7-5g4gn to sc-app-02
4m13s       Normal   ScalingReplicaSet   deployment/localai-rpc-a               Scaled up replica set localai-rpc-a-66b65c5d5f from 0 to 1
4m12s       Normal   Scheduled           pod/localai-rpc-a-66b65c5d5f-kff6b     Successfully assigned genai-thesis/localai-rpc-a-66b65c5d5f-kff6b to sc-app-01
4m12s       Normal   SuccessfulCreate    replicaset/localai-rpc-a-66b65c5d5f    Created pod: localai-rpc-a-66b65c5d5f-kff6b
4m12s       Normal   Started             pod/localai-rpc-a-66b65c5d5f-kff6b     Container started
4m12s       Normal   Created             pod/localai-rpc-a-66b65c5d5f-kff6b     Container created
4m12s       Normal   Pulled              pod/localai-rpc-a-66b65c5d5f-kff6b     Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
4m11s       Normal   SuccessfulDelete    replicaset/localai-rpc-a-6cd76fc98     Deleted pod: localai-rpc-a-6cd76fc98-l5z8l
4m11s       Normal   Killing             pod/localai-rpc-a-6cd76fc98-l5z8l      Stopping container rpc-worker
4m11s       Normal   ScalingReplicaSet   deployment/localai-rpc-a               Scaled down replica set localai-rpc-a-6cd76fc98 from 1 to 0
