LAST SEEN   TYPE     REASON              OBJECT                                 MESSAGE
57m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-74fccf5cb7 from 1 to 0
57m         Normal   SuccessfulDelete    replicaset/localai-server-74fccf5cb7   Deleted pod: localai-server-74fccf5cb7-bbxl2
57m         Normal   Killing             pod/localai-server-74fccf5cb7-bbxl2    Stopping container localai
57m         Normal   Pulled              pod/localai-server-b4975d958-pdz4w     Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
57m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-b4975d958 from 0 to 1
57m         Normal   SuccessfulCreate    replicaset/localai-server-b4975d958    Created pod: localai-server-b4975d958-pdz4w
57m         Normal   Started             pod/localai-server-b4975d958-pdz4w     Container started
57m         Normal   Created             pod/localai-server-b4975d958-pdz4w     Container created
57m         Normal   Scheduled           pod/localai-server-b4975d958-pdz4w     Successfully assigned genai-thesis/localai-server-b4975d958-pdz4w to sc-app-02
43m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-b4975d958 from 1 to 0
43m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-86b868dbcc from 0 to 1
43m         Normal   SuccessfulDelete    replicaset/localai-server-b4975d958    Deleted pod: localai-server-b4975d958-pdz4w
43m         Normal   Killing             pod/localai-server-b4975d958-pdz4w     Stopping container localai
43m         Normal   Started             pod/localai-server-86b868dbcc-28cqz    Container started
43m         Normal   SuccessfulCreate    replicaset/localai-server-86b868dbcc   Created pod: localai-server-86b868dbcc-28cqz
43m         Normal   Created             pod/localai-server-86b868dbcc-28cqz    Container created
43m         Normal   Pulled              pod/localai-server-86b868dbcc-28cqz    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
43m         Normal   Scheduled           pod/localai-server-86b868dbcc-28cqz    Successfully assigned genai-thesis/localai-server-86b868dbcc-28cqz to sc-app-02
29m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-86b868dbcc from 1 to 0
29m         Normal   Killing             pod/localai-server-86b868dbcc-28cqz    Stopping container localai
29m         Normal   SuccessfulDelete    replicaset/localai-server-86b868dbcc   Deleted pod: localai-server-86b868dbcc-28cqz
29m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-7bd44b44d8 from 0 to 1
29m         Normal   SuccessfulCreate    replicaset/localai-server-7bd44b44d8   Created pod: localai-server-7bd44b44d8-4n6jm
29m         Normal   Started             pod/localai-server-7bd44b44d8-4n6jm    Container started
29m         Normal   Created             pod/localai-server-7bd44b44d8-4n6jm    Container created
29m         Normal   Pulled              pod/localai-server-7bd44b44d8-4n6jm    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
29m         Normal   Scheduled           pod/localai-server-7bd44b44d8-4n6jm    Successfully assigned genai-thesis/localai-server-7bd44b44d8-4n6jm to sc-app-02
14m         Normal   SuccessfulDelete    replicaset/localai-server-7bd44b44d8   Deleted pod: localai-server-7bd44b44d8-4n6jm
14m         Normal   Killing             pod/localai-server-7bd44b44d8-4n6jm    Stopping container localai
14m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-7bd44b44d8 from 1 to 0
14m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-74fccf5cb7 from 0 to 1
14m         Normal   SuccessfulCreate    replicaset/localai-server-74fccf5cb7   Created pod: localai-server-74fccf5cb7-5g4gn
14m         Normal   Started             pod/localai-server-74fccf5cb7-5g4gn    Container started
14m         Normal   Created             pod/localai-server-74fccf5cb7-5g4gn    Container created
14m         Normal   Pulled              pod/localai-server-74fccf5cb7-5g4gn    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
14m         Normal   Scheduled           pod/localai-server-74fccf5cb7-5g4gn    Successfully assigned genai-thesis/localai-server-74fccf5cb7-5g4gn to sc-app-02
24s         Normal   ScalingReplicaSet   deployment/localai-rpc-a               Scaled up replica set localai-rpc-a-66b65c5d5f from 0 to 1
22s         Normal   Scheduled           pod/localai-rpc-a-66b65c5d5f-kff6b     Successfully assigned genai-thesis/localai-rpc-a-66b65c5d5f-kff6b to sc-app-01
23s         Normal   SuccessfulCreate    replicaset/localai-rpc-a-66b65c5d5f    Created pod: localai-rpc-a-66b65c5d5f-kff6b
23s         Normal   Started             pod/localai-rpc-a-66b65c5d5f-kff6b     Container started
23s         Normal   Created             pod/localai-rpc-a-66b65c5d5f-kff6b     Container created
23s         Normal   Pulled              pod/localai-rpc-a-66b65c5d5f-kff6b     Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
22s         Normal   SuccessfulDelete    replicaset/localai-rpc-a-6cd76fc98     Deleted pod: localai-rpc-a-6cd76fc98-l5z8l
22s         Normal   Killing             pod/localai-rpc-a-6cd76fc98-l5z8l      Stopping container rpc-worker
22s         Normal   ScalingReplicaSet   deployment/localai-rpc-a               Scaled down replica set localai-rpc-a-6cd76fc98 from 1 to 0
