LAST SEEN   TYPE     REASON              OBJECT                                 MESSAGE
51m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-b4975d958 from 1 to 0
51m         Normal   Killing             pod/localai-server-b4975d958-pdz4w     Stopping container localai
51m         Normal   SuccessfulDelete    replicaset/localai-server-b4975d958    Deleted pod: localai-server-b4975d958-pdz4w
51m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-86b868dbcc from 0 to 1
51m         Normal   SuccessfulCreate    replicaset/localai-server-86b868dbcc   Created pod: localai-server-86b868dbcc-28cqz
51m         Normal   Pulled              pod/localai-server-86b868dbcc-28cqz    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
51m         Normal   Scheduled           pod/localai-server-86b868dbcc-28cqz    Successfully assigned genai-thesis/localai-server-86b868dbcc-28cqz to sc-app-02
51m         Normal   Started             pod/localai-server-86b868dbcc-28cqz    Container started
51m         Normal   Created             pod/localai-server-86b868dbcc-28cqz    Container created
38m         Normal   SuccessfulDelete    replicaset/localai-server-86b868dbcc   Deleted pod: localai-server-86b868dbcc-28cqz
38m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-86b868dbcc from 1 to 0
38m         Normal   Killing             pod/localai-server-86b868dbcc-28cqz    Stopping container localai
38m         Normal   SuccessfulCreate    replicaset/localai-server-7bd44b44d8   Created pod: localai-server-7bd44b44d8-4n6jm
38m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-7bd44b44d8 from 0 to 1
38m         Normal   Scheduled           pod/localai-server-7bd44b44d8-4n6jm    Successfully assigned genai-thesis/localai-server-7bd44b44d8-4n6jm to sc-app-02
38m         Normal   Pulled              pod/localai-server-7bd44b44d8-4n6jm    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
38m         Normal   Created             pod/localai-server-7bd44b44d8-4n6jm    Container created
38m         Normal   Started             pod/localai-server-7bd44b44d8-4n6jm    Container started
22m         Normal   Killing             pod/localai-server-7bd44b44d8-4n6jm    Stopping container localai
22m         Normal   SuccessfulDelete    replicaset/localai-server-7bd44b44d8   Deleted pod: localai-server-7bd44b44d8-4n6jm
22m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-7bd44b44d8 from 1 to 0
22m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-74fccf5cb7 from 0 to 1
22m         Normal   SuccessfulCreate    replicaset/localai-server-74fccf5cb7   Created pod: localai-server-74fccf5cb7-5g4gn
22m         Normal   Started             pod/localai-server-74fccf5cb7-5g4gn    Container started
22m         Normal   Created             pod/localai-server-74fccf5cb7-5g4gn    Container created
22m         Normal   Pulled              pod/localai-server-74fccf5cb7-5g4gn    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
22m         Normal   Scheduled           pod/localai-server-74fccf5cb7-5g4gn    Successfully assigned genai-thesis/localai-server-74fccf5cb7-5g4gn to sc-app-02
8m41s       Normal   ScalingReplicaSet   deployment/localai-rpc-a               Scaled up replica set localai-rpc-a-66b65c5d5f from 0 to 1
8m40s       Normal   Scheduled           pod/localai-rpc-a-66b65c5d5f-kff6b     Successfully assigned genai-thesis/localai-rpc-a-66b65c5d5f-kff6b to sc-app-01
8m40s       Normal   SuccessfulCreate    replicaset/localai-rpc-a-66b65c5d5f    Created pod: localai-rpc-a-66b65c5d5f-kff6b
8m40s       Normal   Started             pod/localai-rpc-a-66b65c5d5f-kff6b     Container started
8m40s       Normal   Created             pod/localai-rpc-a-66b65c5d5f-kff6b     Container created
8m40s       Normal   Pulled              pod/localai-rpc-a-66b65c5d5f-kff6b     Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
8m39s       Normal   SuccessfulDelete    replicaset/localai-rpc-a-6cd76fc98     Deleted pod: localai-rpc-a-6cd76fc98-l5z8l
8m39s       Normal   Killing             pod/localai-rpc-a-6cd76fc98-l5z8l      Stopping container rpc-worker
8m39s       Normal   ScalingReplicaSet   deployment/localai-rpc-a               Scaled down replica set localai-rpc-a-6cd76fc98 from 1 to 0
