LAST SEEN   TYPE     REASON              OBJECT                                 MESSAGE
48m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-b4975d958 from 1 to 0
48m         Normal   Killing             pod/localai-server-b4975d958-pdz4w     Stopping container localai
48m         Normal   SuccessfulDelete    replicaset/localai-server-b4975d958    Deleted pod: localai-server-b4975d958-pdz4w
48m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-86b868dbcc from 0 to 1
48m         Normal   SuccessfulCreate    replicaset/localai-server-86b868dbcc   Created pod: localai-server-86b868dbcc-28cqz
48m         Normal   Pulled              pod/localai-server-86b868dbcc-28cqz    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
48m         Normal   Scheduled           pod/localai-server-86b868dbcc-28cqz    Successfully assigned genai-thesis/localai-server-86b868dbcc-28cqz to sc-app-02
48m         Normal   Started             pod/localai-server-86b868dbcc-28cqz    Container started
48m         Normal   Created             pod/localai-server-86b868dbcc-28cqz    Container created
34m         Normal   SuccessfulDelete    replicaset/localai-server-86b868dbcc   Deleted pod: localai-server-86b868dbcc-28cqz
34m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-86b868dbcc from 1 to 0
34m         Normal   Killing             pod/localai-server-86b868dbcc-28cqz    Stopping container localai
34m         Normal   SuccessfulCreate    replicaset/localai-server-7bd44b44d8   Created pod: localai-server-7bd44b44d8-4n6jm
34m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-7bd44b44d8 from 0 to 1
34m         Normal   Scheduled           pod/localai-server-7bd44b44d8-4n6jm    Successfully assigned genai-thesis/localai-server-7bd44b44d8-4n6jm to sc-app-02
34m         Normal   Pulled              pod/localai-server-7bd44b44d8-4n6jm    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
34m         Normal   Created             pod/localai-server-7bd44b44d8-4n6jm    Container created
34m         Normal   Started             pod/localai-server-7bd44b44d8-4n6jm    Container started
18m         Normal   Killing             pod/localai-server-7bd44b44d8-4n6jm    Stopping container localai
18m         Normal   SuccessfulDelete    replicaset/localai-server-7bd44b44d8   Deleted pod: localai-server-7bd44b44d8-4n6jm
18m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-7bd44b44d8 from 1 to 0
18m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-74fccf5cb7 from 0 to 1
18m         Normal   SuccessfulCreate    replicaset/localai-server-74fccf5cb7   Created pod: localai-server-74fccf5cb7-5g4gn
18m         Normal   Started             pod/localai-server-74fccf5cb7-5g4gn    Container started
18m         Normal   Created             pod/localai-server-74fccf5cb7-5g4gn    Container created
18m         Normal   Pulled              pod/localai-server-74fccf5cb7-5g4gn    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
18m         Normal   Scheduled           pod/localai-server-74fccf5cb7-5g4gn    Successfully assigned genai-thesis/localai-server-74fccf5cb7-5g4gn to sc-app-02
4m51s       Normal   ScalingReplicaSet   deployment/localai-rpc-a               Scaled up replica set localai-rpc-a-66b65c5d5f from 0 to 1
4m50s       Normal   Scheduled           pod/localai-rpc-a-66b65c5d5f-kff6b     Successfully assigned genai-thesis/localai-rpc-a-66b65c5d5f-kff6b to sc-app-01
4m50s       Normal   SuccessfulCreate    replicaset/localai-rpc-a-66b65c5d5f    Created pod: localai-rpc-a-66b65c5d5f-kff6b
4m50s       Normal   Started             pod/localai-rpc-a-66b65c5d5f-kff6b     Container started
4m50s       Normal   Created             pod/localai-rpc-a-66b65c5d5f-kff6b     Container created
4m50s       Normal   Pulled              pod/localai-rpc-a-66b65c5d5f-kff6b     Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
4m49s       Normal   SuccessfulDelete    replicaset/localai-rpc-a-6cd76fc98     Deleted pod: localai-rpc-a-6cd76fc98-l5z8l
4m49s       Normal   Killing             pod/localai-rpc-a-6cd76fc98-l5z8l      Stopping container rpc-worker
4m49s       Normal   ScalingReplicaSet   deployment/localai-rpc-a               Scaled down replica set localai-rpc-a-6cd76fc98 from 1 to 0
