Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776800857,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776800858,2,GET,GET /v1/models (startup check),0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,141.7176999966614,141.7176999966614,141.7176999966614,141.7176999966614,243.0
1776800858,2,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,141.7176999966614,141.7176999966614,141.7176999966614,141.7176999966614,243.0
1776800859,2,GET,GET /v1/models (startup check),0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.0,139.48904999779188,137.26039999892237,141.7176999966614,243.0
1776800859,2,POST,POST /v1/chat/completions,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1525.8610000018962,1525.8610000018962,1525.8610000018962,1525.8610000018962,298.0
1776800859,2,,Aggregated,0.000000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,3,0,140.0,601.6130333324933,137.26039999892237,1525.8610000018962,261.3333333333333
1776800860,2,GET,GET /v1/models (startup check),1.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.0,139.48904999779188,137.26039999892237,141.7176999966614,243.0
1776800860,2,POST,POST /v1/chat/completions,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,1525.8610000018962,1598.9623500008747,1525.8610000018962,1672.0636999998533,298.0
1776800860,2,,Aggregated,1.000000,0.000000,1500,1500,1700,1700,1700,1700,1700,1700,1700,1700,1700,4,0,140.0,869.2256999993333,137.26039999892237,1672.0636999998533,270.5
1776800861,2,GET,GET /v1/models (startup check),1.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.0,139.48904999779188,137.26039999892237,141.7176999966614,243.0
1776800861,2,POST,POST /v1/chat/completions,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,1525.8610000018962,1598.9623500008747,1525.8610000018962,1672.0636999998533,298.0
1776800861,2,,Aggregated,1.000000,0.000000,1500,1500,1700,1700,1700,1700,1700,1700,1700,1700,1700,4,0,140.0,869.2256999993333,137.26039999892237,1672.0636999998533,270.5
1776800862,2,GET,GET /v1/models (startup check),1.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.0,139.48904999779188,137.26039999892237,141.7176999966614,243.0
1776800862,2,POST,POST /v1/chat/completions,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,1525.8610000018962,1598.9623500008747,1525.8610000018962,1672.0636999998533,298.0
1776800862,2,,Aggregated,1.000000,0.000000,1500,1500,1700,1700,1700,1700,1700,1700,1700,1700,1700,4,0,140.0,869.2256999993333,137.26039999892237,1672.0636999998533,270.5
1776800863,2,GET,GET /v1/models (startup check),0.666667,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,140.0,139.48904999779188,137.26039999892237,141.7176999966614,243.0
1776800863,2,POST,POST /v1/chat/completions,0.333333,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,3,0,1521.5987999981735,1573.1744999999744,1521.5987999981735,1672.0636999998533,298.0
