LAST SEEN   TYPE     REASON              OBJECT                                 MESSAGE
52m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-b4975d958 from 1 to 0
52m         Normal   Killing             pod/localai-server-b4975d958-pdz4w     Stopping container localai
52m         Normal   SuccessfulDelete    replicaset/localai-server-b4975d958    Deleted pod: localai-server-b4975d958-pdz4w
52m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-86b868dbcc from 0 to 1
52m         Normal   SuccessfulCreate    replicaset/localai-server-86b868dbcc   Created pod: localai-server-86b868dbcc-28cqz
52m         Normal   Pulled              pod/localai-server-86b868dbcc-28cqz    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
52m         Normal   Scheduled           pod/localai-server-86b868dbcc-28cqz    Successfully assigned genai-thesis/localai-server-86b868dbcc-28cqz to sc-app-02
52m         Normal   Started             pod/localai-server-86b868dbcc-28cqz    Container started
52m         Normal   Created             pod/localai-server-86b868dbcc-28cqz    Container created
38m         Normal   SuccessfulDelete    replicaset/localai-server-86b868dbcc   Deleted pod: localai-server-86b868dbcc-28cqz
38m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-86b868dbcc from 1 to 0
38m         Normal   Killing             pod/localai-server-86b868dbcc-28cqz    Stopping container localai
38m         Normal   SuccessfulCreate    replicaset/localai-server-7bd44b44d8   Created pod: localai-server-7bd44b44d8-4n6jm
38m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-7bd44b44d8 from 0 to 1
38m         Normal   Scheduled           pod/localai-server-7bd44b44d8-4n6jm    Successfully assigned genai-thesis/localai-server-7bd44b44d8-4n6jm to sc-app-02
38m         Normal   Pulled              pod/localai-server-7bd44b44d8-4n6jm    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
38m         Normal   Created             pod/localai-server-7bd44b44d8-4n6jm    Container created
38m         Normal   Started             pod/localai-server-7bd44b44d8-4n6jm    Container started
23m         Normal   Killing             pod/localai-server-7bd44b44d8-4n6jm    Stopping container localai
23m         Normal   SuccessfulDelete    replicaset/localai-server-7bd44b44d8   Deleted pod: localai-server-7bd44b44d8-4n6jm
23m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled down replica set localai-server-7bd44b44d8 from 1 to 0
23m         Normal   ScalingReplicaSet   deployment/localai-server              Scaled up replica set localai-server-74fccf5cb7 from 0 to 1
23m         Normal   SuccessfulCreate    replicaset/localai-server-74fccf5cb7   Created pod: localai-server-74fccf5cb7-5g4gn
23m         Normal   Started             pod/localai-server-74fccf5cb7-5g4gn    Container started
23m         Normal   Created             pod/localai-server-74fccf5cb7-5g4gn    Container created
23m         Normal   Pulled              pod/localai-server-74fccf5cb7-5g4gn    Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
23m         Normal   Scheduled           pod/localai-server-74fccf5cb7-5g4gn    Successfully assigned genai-thesis/localai-server-74fccf5cb7-5g4gn to sc-app-02
9m16s       Normal   ScalingReplicaSet   deployment/localai-rpc-a               Scaled up replica set localai-rpc-a-66b65c5d5f from 0 to 1
9m15s       Normal   Scheduled           pod/localai-rpc-a-66b65c5d5f-kff6b     Successfully assigned genai-thesis/localai-rpc-a-66b65c5d5f-kff6b to sc-app-01
9m15s       Normal   SuccessfulCreate    replicaset/localai-rpc-a-66b65c5d5f    Created pod: localai-rpc-a-66b65c5d5f-kff6b
9m15s       Normal   Started             pod/localai-rpc-a-66b65c5d5f-kff6b     Container started
9m15s       Normal   Created             pod/localai-rpc-a-66b65c5d5f-kff6b     Container created
9m15s       Normal   Pulled              pod/localai-rpc-a-66b65c5d5f-kff6b     Container image "quay.io/go-skynet/local-ai:v4.1.0" already present on machine and can be accessed by the pod
9m14s       Normal   SuccessfulDelete    replicaset/localai-rpc-a-6cd76fc98     Deleted pod: localai-rpc-a-6cd76fc98-l5z8l
9m14s       Normal   Killing             pod/localai-rpc-a-6cd76fc98-l5z8l      Stopping container rpc-worker
9m14s       Normal   ScalingReplicaSet   deployment/localai-rpc-a               Scaled down replica set localai-rpc-a-6cd76fc98 from 1 to 0
