Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776801168,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776801169,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776801170,2,POST,POST /v1/chat/completions,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1667.9379000015615,1667.9379000015615,1667.9379000015615,1667.9379000015615,298.0
1776801170,2,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1,0,1667.9379000015615,1667.9379000015615,1667.9379000015615,1667.9379000015615,298.0
1776801171,2,POST,POST /v1/chat/completions,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,2,0,1700.0,1743.394500001159,1667.9379000015615,1818.8511000007566,298.0
1776801171,2,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,2,0,1700.0,1743.394500001159,1667.9379000015615,1818.8511000007566,298.0
1776801172,2,POST,POST /v1/chat/completions,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,2,0,1700.0,1743.394500001159,1667.9379000015615,1818.8511000007566,298.0
1776801172,2,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,2,0,1700.0,1743.394500001159,1667.9379000015615,1818.8511000007566,298.0
1776801173,2,POST,POST /v1/chat/completions,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,2,0,1700.0,1743.394500001159,1667.9379000015615,1818.8511000007566,298.0
1776801173,2,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,2,0,1700.0,1743.394500001159,1667.9379000015615,1818.8511000007566,298.0
1776801174,2,POST,POST /v1/chat/completions,0.333333,0.000000,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1700.0,1673.8115000007383,1534.6454999998969,1818.8511000007566,298.0
1776801174,2,,Aggregated,0.333333,0.000000,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1700.0,1673.8115000007383,1534.6454999998969,1818.8511000007566,298.0
1776801175,2,POST,POST /v1/chat/completions,0.500000,0.000000,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,4,0,1600.0,1648.6969750003482,1534.6454999998969,1818.8511000007566,298.0
1776801175,2,,Aggregated,0.500000,0.000000,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,4,0,1600.0,1648.6969750003482,1534.6454999998969,1818.8511000007566,298.0
1776801176,2,POST,POST /v1/chat/completions,0.500000,0.000000,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,4,0,1600.0,1648.6969750003482,1534.6454999998969,1818.8511000007566,298.0
1776801176,2,,Aggregated,0.500000,0.000000,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,4,0,1600.0,1648.6969750003482,1534.6454999998969,1818.8511000007566,298.0
1776801177,2,POST,POST /v1/chat/completions,0.500000,0.000000,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,5,0,1600.0,1622.8453000003356,1519.438600000285,1818.8511000007566,298.0
1776801177,2,,Aggregated,0.500000,0.000000,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,5,0,1600.0,1622.8453000003356,1519.438600000285,1818.8511000007566,298.0
1776801178,2,POST,POST /v1/chat/completions,0.500000,0.000000,1600,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800,6,0,1519.438600000285,1610.0847166671883,1519.438600000285,1818.8511000007566,298.0
1776801178,2,,Aggregated,0.500000,0.000000,1600,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800,6,0,1519.438600000285,1610.0847166671883,1519.438600000285,1818.8511000007566,298.0
1776801179,2,POST,POST /v1/chat/completions,0.500000,0.000000,1600,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800,6,0,1519.438600000285,1610.0847166671883,1519.438600000285,1818.8511000007566,298.0
