Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776789700,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776789701,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776789702,2,POST,POST /v1/chat/completions,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1579.3058999988716,1579.3058999988716,1579.3058999988716,1579.3058999988716,298.0
1776789702,2,,Aggregated,0.000000,0.000000,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1,0,1579.3058999988716,1579.3058999988716,1579.3058999988716,1579.3058999988716,298.0
1776789703,2,POST,POST /v1/chat/completions,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,1600.0,1617.361050000909,1579.3058999988716,1655.4162000029464,298.0
1776789703,2,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,1600.0,1617.361050000909,1579.3058999988716,1655.4162000029464,298.0
1776789704,2,POST,POST /v1/chat/completions,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,1600.0,1617.361050000909,1579.3058999988716,1655.4162000029464,298.0
1776789704,2,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,1600.0,1617.361050000909,1579.3058999988716,1655.4162000029464,298.0
1776789705,2,POST,POST /v1/chat/completions,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,1600.0,1617.361050000909,1579.3058999988716,1655.4162000029464,298.0
1776789705,2,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,1600.0,1617.361050000909,1579.3058999988716,1655.4162000029464,298.0
1776789707,2,POST,POST /v1/chat/completions,0.500000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,3,0,1600.0,1567.0935000004345,1466.5583999994851,1655.4162000029464,298.0
1776789707,2,,Aggregated,0.500000,0.000000,1600,1600,1700,1700,1700,1700,1700,1700,1700,1700,1700,3,0,1600.0,1567.0935000004345,1466.5583999994851,1655.4162000029464,298.0
1776789708,2,POST,POST /v1/chat/completions,0.400000,0.000000,1500,1500,1700,1700,1700,1700,1700,1700,1700,1700,1700,4,0,1500.0,1552.0589250008925,1466.5583999994851,1655.4162000029464,298.0
1776789708,2,,Aggregated,0.400000,0.000000,1600,1600,1700,1700,1700,1700,1700,1700,1700,1700,1700,4,0,1500.0,1552.0589250008925,1466.5583999994851,1655.4162000029464,298.0
1776789709,2,POST,POST /v1/chat/completions,0.400000,0.000000,1500,1500,1700,1700,1700,1700,1700,1700,1700,1700,1700,4,0,1500.0,1552.0589250008925,1466.5583999994851,1655.4162000029464,298.0
1776789709,2,,Aggregated,0.400000,0.000000,1600,1600,1700,1700,1700,1700,1700,1700,1700,1700,1700,4,0,1500.0,1552.0589250008925,1466.5583999994851,1655.4162000029464,298.0
1776789710,2,POST,POST /v1/chat/completions,0.428571,0.000000,1500,1500,1700,1700,1700,1700,1700,1700,1700,1700,1700,5,0,1500.0,1536.4036800005124,1466.5583999994851,1655.4162000029464,298.0
1776789710,2,,Aggregated,0.428571,0.000000,1500,1600,1600,1700,1700,1700,1700,1700,1700,1700,1700,5,0,1500.0,1536.4036800005124,1466.5583999994851,1655.4162000029464,298.0
1776789711,2,POST,POST /v1/chat/completions,0.500000,0.000000,1500,1500,1500,1700,1700,1700,1700,1700,1700,1700,1700,6,0,1500.0,1528.8403000001078,1466.5583999994851,1655.4162000029464,298.0
1776789711,2,,Aggregated,0.500000,0.000000,1500,1500,1600,1600,1700,1700,1700,1700,1700,1700,1700,6,0,1500.0,1528.8403000001078,1466.5583999994851,1655.4162000029464,298.0
1776789712,2,POST,POST /v1/chat/completions,0.500000,0.000000,1500,1500,1500,1700,1700,1700,1700,1700,1700,1700,1700,6,0,1500.0,1528.8403000001078,1466.5583999994851,1655.4162000029464,298.0
1776789712,2,,Aggregated,0.500000,0.000000,1500,1500,1500,1700,1700,1700,1700,1700,1700,1700,1700,6,0,1500.0,1528.8403000001078,1466.5583999994851,1655.4162000029464,298.0
1776789713,2,POST,POST /v1/chat/completions,0.500000,0.000000,1500,1500,1500,1500,1700,1700,1700,1700,1700,1700,1700,7,0,1500.0,1519.5726428573835,1463.9667000010377,1655.4162000029464,298.0
1776789713,2,,Aggregated,0.500000,0.000000,1500,1500,1500,1500,1700,1700,1700,1700,1700,1700,1700,7,0,1500.0,1519.5726428573835,1463.9667000010377,1655.4162000029464,298.0
1776789714,2,POST,POST /v1/chat/completions,0.500000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7,0,1500.0,1519.5726428573835,1463.9667000010377,1655.4162000029464,298.0
1776789714,2,,Aggregated,0.500000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7,0,1500.0,1519.5726428573835,1463.9667000010377,1655.4162000029464,298.0
