Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776786577,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776786578,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776786579,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776786580,4,POST,POST /v1/chat/completions,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2243.7091000010696,2243.7091000010696,2243.7091000010696,2243.7091000010696,298.0
1776786580,4,,Aggregated,0.000000,0.000000,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,1,0,2243.7091000010696,2243.7091000010696,2243.7091000010696,2243.7091000010696,298.0
1776786581,4,POST,POST /v1/chat/completions,0.000000,0.000000,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,2,0,2243.7091000010696,2807.2694500006037,2243.7091000010696,3370.8298000001378,298.0
1776786581,4,,Aggregated,0.000000,0.000000,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,2,0,2243.7091000010696,2807.2694500006037,2243.7091000010696,3370.8298000001378,298.0
1776786582,4,POST,POST /v1/chat/completions,0.000000,0.000000,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3,0,3400.0,3037.4424000001454,2243.7091000010696,3497.788299999229,298.0
1776786582,4,,Aggregated,0.000000,0.000000,3400,3400,3500,3500,3500,3500,3500,3500,3500,3500,3500,3,0,3400.0,3037.4424000001454,2243.7091000010696,3497.788299999229,298.0
1776786583,4,POST,POST /v1/chat/completions,0.333333,0.000000,3500,3500,4600,4600,4600,4600,4600,4600,4600,4600,4600,4,0,3400.0,3436.187725000309,2243.7091000010696,4632.4237000008,298.0
