family,scenario_id,label,status,summary_source,sample_count,replicas,unsupported_replicas,unsupported_evidence_kinds,request_count_mean,request_count_min,request_count_max,request_count_cv_percent,failure_count_mean,failure_count_min,failure_count_max,failure_count_cv_percent,mean_response_time_ms_mean,mean_response_time_ms_min,mean_response_time_ms_max,mean_response_time_ms_cv_percent,p50_response_time_ms_mean,p50_response_time_ms_min,p50_response_time_ms_max,p50_response_time_ms_cv_percent,p95_response_time_ms_mean,p95_response_time_ms_min,p95_response_time_ms_max,p95_response_time_ms_cv_percent,p99_response_time_ms_mean,p99_response_time_ms_min,p99_response_time_ms_max,p99_response_time_ms_cv_percent,throughput_rps_mean,throughput_rps_min,throughput_rps_max,throughput_rps_cv_percent,max_node_cpu_percent_mean,max_node_memory_percent_mean,max_pod_cpu_millicores_mean,max_pod_memory_mib_mean,pod_restart_count_mean,pending_pods_count_mean,failed_pods_count_mean,not_ready_pods_count_mean,kubernetes_events_count_mean,kubernetes_warning_events_count_mean,mean_latency_delta_vs_reference_percent,throughput_delta_vs_reference_percent
scheduler-comparison,SC_DEFAULT_1T_2N_L0_UNIFORM_M1_W2,"SC_DEFAULT_1T_2N_L0_UNIFORM_M1_W2 (1T_2N_L0_UNIFORM_M1_W2, default)",measured,measurement_csv,3,"A,B,C",,,18.6667,18,19,2.5254,0,0,0,0.0,1547.4891,1497.8904,1645.4897,4.4781,1500.0,1500.0,1500.0,0.0,2466.6667,1600.0,4200.0,49.6886,2466.6667,1600.0,4200.0,49.6886,0.1591,0.1569,0.1602,0.9847,5.0,51.0,385.0,592.0,0,0,0,0,43,0,1.4923,-0.2508
scheduler-comparison,SC_DEFAULT_1T_4N_L0_UNIFORM_M1_W2,"SC_DEFAULT_1T_4N_L0_UNIFORM_M1_W2 (1T_4N_L0_UNIFORM_M1_W2, default)",measured,measurement_csv,3,"A,B,C",,,19,19,19,0.0,0,0,0,0.0,1524.7359,1521.6514,1529.0149,0.2048,1500.4257,1500.0,1501.2772,0.0401,1666.6667,1600.0,1700.0,2.8284,1666.6667,1600.0,1700.0,2.8284,0.1595,0.1594,0.1596,0.0524,5.0,51.0,390.3333,592.0,0,0,0,0,44,0,0.0,0.0
scheduler-comparison,SC_DEFAULT_2T_2N_L0_DIFFERENTIATED_M1M1_W2,"SC_DEFAULT_2T_2N_L0_DIFFERENTIATED_M1M1_W2 (2T_2N_L0_DIFFERENTIATED_M1M1_W2, default)",measured,measurement_csv,6,"A,A,B,B,C,C",,,15,11,19,26.6667,0,0,0,0.0,1524.6024,1512.271,1540.2679,0.6248,1500.0,1500.0,1500.0,0.0,1683.3333,1600.0,1800.0,5.3318,1683.3333,1600.0,1800.0,5.3318,0.1269,0.094,0.1598,25.8221,6.6667,50.0,393.0,592.0,0,0,0,0,45,3,-0.0088,-20.4389
scheduler-comparison,SC_DEFAULT_2T_2N_L0_UNIFORM_M1M1_W2,"SC_DEFAULT_2T_2N_L0_UNIFORM_M1M1_W2 (2T_2N_L0_UNIFORM_M1M1_W2, default)",measured,measurement_csv,6,"A,A,B,B,C,C",,,18.3333,18,19,2.5713,0,0,0,0.0,1499.7766,1494.7351,1503.453,0.1842,1500.0,1500.0,1500.0,0.0,1600.0,1600.0,1600.0,0.0,1600.0,1600.0,1600.0,0.0,0.1604,0.1602,0.1605,0.0802,10.3333,49.0,390.6667,592.0,0,0,0,0,45,3,-1.637,0.5643
scheduler-comparison,SC_DEFAULT_2T_4N_L0_DIFFERENTIATED_M1M1_W2,"SC_DEFAULT_2T_4N_L0_DIFFERENTIATED_M1M1_W2 (2T_4N_L0_DIFFERENTIATED_M1M1_W2, default)",unsupported_under_current_constraints,none,0,,"A,B,C","application_not_ready,localai_deployment,smoke_validation_failure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler-comparison,SC_DEFAULT_2T_4N_L0_UNIFORM_M1M1_W2,"SC_DEFAULT_2T_4N_L0_UNIFORM_M1M1_W2 (2T_4N_L0_UNIFORM_M1M1_W2, default)",measured,measurement_csv,6,"A,A,B,B,C,C",,,19,19,19,0.0,0,0,0,0.0,1497.8526,1489.6907,1506.8946,0.4345,1500.0,1500.0,1500.0,0.0,1616.6667,1600.0,1700.0,2.3052,1616.6667,1600.0,1700.0,2.3052,0.1602,0.16,0.1604,0.1021,5.6667,54.6667,380.3333,592.0,0,0,0,0,43,0,-1.7631,0.4389
scheduler-comparison,SC_DEFAULT_2T_4N_L0_UNIFORM_M1M2_W2,"SC_DEFAULT_2T_4N_L0_UNIFORM_M1M2_W2 (2T_4N_L0_UNIFORM_M1M2_W2, default)",measured,measurement_csv,6,"A,A,B,B,C,C",,,19,19,19,0.0,0,0,0,0.0,1446.0386,1397.6839,1496.0893,3.1139,1450.0,1400.0,1500.0,3.4483,1583.3333,1500.0,1700.0,4.3401,1583.3333,1500.0,1700.0,4.3401,0.1616,0.1602,0.1629,0.7313,6.0,52.0,333.0,592.0,0,0,0,0,43,0,-5.1614,1.3166
scheduler-comparison,SC_DEFAULT_3T_4N_L0_UNIFORM_M1M1M1_W2,"SC_DEFAULT_3T_4N_L0_UNIFORM_M1M1M1_W2 (3T_4N_L0_UNIFORM_M1M1M1_W2, default)",measured,measurement_csv,9,"A,A,A,B,B,B,C,C,C",,,19,19,19,0.0,0,0,0,0.0,1492.1665,1488.0346,1497.7598,0.1868,1500.0,1500.0,1500.0,0.0,1600.0,1600.0,1600.0,0.0,1600.0,1600.0,1600.0,0.0,0.1603,0.1602,0.1604,0.0411,7.3333,51.6667,368.6667,592.0,0,0,0,0,43,0,-2.1361,0.5016
scheduler-comparison,SC_LOADAWARE_1T_2N_L0_UNIFORM_M1_W2,"SC_LOADAWARE_1T_2N_L0_UNIFORM_M1_W2 (1T_2N_L0_UNIFORM_M1_W2, loadaware)",measured,measurement_csv,3,"A,B,C",,,19,19,19,0.0,0,0,0,0.0,1461.4291,1458.6636,1463.2213,0.1357,1477.5618,1432.6855,1500.0,2.1476,1600.0,1600.0,1600.0,0.0,1600.0,1600.0,1600.0,0.0,0.1611,0.1611,0.1612,0.0102,9.0,55.0,379.0,592.0,0,0,0,0,44,1,-4.152,1.0031
scheduler-comparison,SC_LOADAWARE_1T_4N_L0_UNIFORM_M1_W2,"SC_LOADAWARE_1T_4N_L0_UNIFORM_M1_W2 (1T_4N_L0_UNIFORM_M1_W2, loadaware)",measured,measurement_csv,3,"A,B,C",,,19,19,19,0.0,0,0,0,0.0,1463.2686,1462.3379,1463.9969,0.0473,1500.0,1500.0,1500.0,0.0,1600.0,1600.0,1600.0,0.0,1600.0,1600.0,1600.0,0.0,0.1611,0.1611,0.1612,0.0181,8.6667,57.0,378.3333,592.0,0,0,0,0,44,1,-4.0313,1.0031
